#,fault_id,created,message,updated,url
3373,27834,2022-03-12 23:33:55.724000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-mantsester-g-totenam-me-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title"">"
3374,27835,2022-03-12 23:33:55.739000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/mantsester-gioynaitent-totenam-me-eidika-stoichimata-kai-combo-bets/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""t"
3375,27836,2022-03-12 23:33:58.289000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-mantsester-g-totenam-me-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title"">"
3376,27837,2022-03-12 23:33:58.305000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/mantsester-gioynaitent-totenam-me-eidika-stoichimata-kai-combo-bets/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""t"
3377,27838,2022-03-12 23:33:59.723000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/betsson-prosfores-mantsester-g-totenam-me-enischymeni-apodosi/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""title"">"
3378,27839,2022-03-12 23:33:59.738000,"java.lang.IndexOutOfBoundsException: Index: 1, Size: 1",,"<tr>
 <td colspan=""4"">
  <div class=""py-2 clearfix""> 
   <a href=""https://www.matchmoney.com.gr/offers/mantsester-gioynaitent-totenam-me-eidika-stoichimata-kai-combo-bets/"" class=""text-primary text-center"">
    <div class=""offer-text"">
     <h2 class=""t"
3379,27935,2022-03-13 09:59:56.073000,java.net.SocketTimeoutException: connect timed out,,portlant-ostin-13-3-22-05-00-prognostika-stoichimatos
3380,27936,2022-03-13 10:00:26.093000,java.net.SocketTimeoutException: connect timed out,,rozario-mparakas-sentral-13-3-22-00-15-prognostika-stoichimatos
3381,27937,2022-03-13 10:00:56.116000,java.net.SocketTimeoutException: connect timed out,,sp-chichon-tenerifi-13-3-22-17-00-prognostika-stoichimatos
3382,27938,2022-03-13 10:01:43.086000,java.net.SocketTimeoutException: Read timed out,,la-kalera-oyatsipato-13-3-22-01-30-prognostika-stoichimatos
3383,27939,2022-03-13 23:34:12.499000,java.net.UnknownHostException: www.matchmoney.com.gr,,fortoyna-sparta-rot-18-2-22-21-00-prognostika-stoichimatos
3384,27940,2022-03-13 23:34:12.523000,java.net.UnknownHostException: www.matchmoney.com.gr,,mplakmpern-milgoyol-19-2-22-17-00-prognostika-stoichimatos
3385,27941,2022-03-13 23:34:12.540000,java.net.UnknownHostException: www.matchmoney.com.gr,,zakynthos-of-ierapetra-6-2-22-14-45-prognostika-stoichimatos
3386,27942,2022-03-13 23:34:12.555000,java.net.UnknownHostException: www.matchmoney.com.gr,,diagoras-r-kalamata-13-3-22-14-45-prognostika-stoichimatos
