#,competition_id,code,fetch_status,label,name,name_gr,rank,nobet_count,overall_match_count,overall_rating,overall_score,overall_tip_count,tipsdnb,tips_lost,tips_won,unknown_count,season,type,country,overall_coefficient,new_coefficient
80,277,england-league-trophy,PARTLY_FETCHED,"",Кубок Англии. LEAGUE TROPHY,ΑΓΓΛΙΑ - ΛΙΓΚ ΤΡΟΦΙ,86,7,23,61,52.63754587713081,16,1,12,3,0,_2021_2022,CUP,2,4.123268398268398,7.4
81,2937,conference-league,PARTLY_FETCHED,"",Лига конференции,ΔΙΕΘΝΗ - ΚΟΝΦΕΡΕΝΣ ΛΙΓΚ,63,127,392,195,148.87694889350715,265,1,150,114,0,_2021_2022,INTERNATIONAL,2929,74.58604034440444,91.55131888437171
82,1067,brazil-serie-a,PARTLY_FETCHED,"",Чемпионат Бразилии. Лига A,ΒΡΑΖΙΛΙΑ - Α ΒΡΑΖΙΛΙΑΣ,47,194,407,272,190.39262981276624,179,3,88,88,34,_2021_2022,LEAGUE,25,46.767629812766245,76.5591855337279
83,1375,northern-ireland-premiership,PARTLY_FETCHED,,Чемпионат Северной Ирландии,ΒΟΡΕΙΑ ΙΡΛΑΝΔΙΑ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,39,0,0
84,297,germany-bundesliga-2,PARTLY_FETCHED,"",Чемпионат Германии. Бундеслига 2,ΓΕΡΜΑΝΙΑ - Β ΓΕΡΜΑΝΙΑΣ,15,157,527,543,188.00783028031722,368,0,200,168,2,_2021_2022,LEAGUE,2253,117.75214076238277,246.8843404946875
85,1110,usa-major-league-soccer,PARTLY_FETCHED,"",Чемпионат США. MLS,ΗΠΑ - MLS,20,146,585,472,217.12046713870484,423,5,217,201,16,_2021_2022,LEAGUE,26,136.20891468698244,229.17835340295895
86,1318,japan-league-cup,PARTLY_FETCHED,"",Кубок Японии. Лига куп,ΙΑΠΩΝΙΑ - ΛΙΓΚ ΚΑΠ,77,32,94,127,56.681446848057035,62,2,45,15,0,_2021_2022,CUP,35,15.697076059098109,41.32992604031432
87,971,finland-veikkausliiga,PARTLY_FETCHED,"",Чемпионат Финляндии. Высшая лига,ΦΙΝΛΑΝΔΙΑ - Α ΦΙΝΛΑΝΔΙΑΣ,29,77,197,368,271.3021385684766,120,3,48,69,0,_2021_2022,LEAGUE,22,36.23244156786449,71.58143322835943
88,115,greece-division-c,PARTLY_FETCHED,,Чемпионат Греции. Лига 3,Γ ΕΘΝΙΚΗ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,14091,0,0
89,914,turkey-super-lig,PARTLY_FETCHED,"",Чемпионат Турции. Суперлига,ΤΟΥΡΚΙΑ - Α ΤΟΥΡΚΙΑΣ,5,156,734,799,270.654167558812,578,19,263,296,0,_2021_2022,LEAGUE,20,166.22999612591175,358.67766713740644
90,657,norway-eliteserien,PARTLY_FETCHED,"",Чемпионат Норвегии. Элитсерия,ΝΟΡΒΗΓΙΑ - Α ΝΟΡΒΗΓΙΑΣ,42,69,395,291,185.55697761469827,320,5,164,151,6,_2021_2022,LEAGUE,13,86.06902082420073,124.70423519429903
91,252,england-national-league-north-south,PARTLY_FETCHED,,Чемпионат Англии. Юго-восточная национал,ΝΑΣΙΟΝΑΛ ΛΙΓΚ ΝΟΡΘ/ΣΑΟΥΘ,1000,0,0,0,0,0,0,0,0,0,_2021_2022,LEAGUE,2,0,0
92,1355,nations-league-b,PARTLY_FETCHED,"",Лига Наций УЕФА група B,ΔΙΕΘΝΗ - NATIONS LEAGUE GROUP B,1000,0,0,0,0,0,0,0,0,0,_2021_2022,INTERNATIONAL,2929,0,0
93,789,taca-de-portugal,PARTLY_FETCHED,"",Кубок Португалии,ΠΟΡΤΟΓΑΛΙΑ - ΚΥΠΕΛΛΟ ΠΟΡΤΟΓΑΛΙΑΣ,85,10,28,64,40.833872412276996,18,0,15,3,0,_2021_2022,CUP,2246,3.8818923997848187,12.569458253120953
